load [ft.lb],Engine speed [rpm],Injection amount [mg/stroke],Fuel Rail Pressure Measured [psi],Soot [mg/m^3]
100,1250.203237,30.99090909,15062.604,3.585971594
150,1249.880541,39.64767568,15028.79405,4.758224545
200,1249.875234,52.04514019,14371.87757,8.616081343
240,1249.86476,63.43118856,14162.91123,8.299788939
50,1490.183834,24.02101617,14247.03788,7.016395714
100,1490.014425,33.64092586,13582.99597,8.492572453
150,1489.8125,44.88083022,12810.55177,6.536378043
200,1490.05222,59.27462993,11916.93544,6.965183488
250,1494.318296,73.06027569,11177.94799,5.971665686
300,1493.985237,87.52058185,10541.13026,4.967058056
350,1494.193411,102.3842248,10286.39031,4.073926563
50,1748.792863,25.21409922,14886.65057,10.20813488
100,1749.118173,34.6193148,15225.99702,10.414142
150,1748.780293,45.19986684,13624.63338,7.647625938
200,1748.703917,58.54734285,12114.76496,6.751190714
250,1748.889963,74.50690608,11529.85912,4.198222927
300,1749.108193,88.91862745,11777.28676,3.866442857
340,1751.092977,97.58229476,12679.20772,3.317404318
50,1990.124799,26.83891319,15266.35091,10.9977828
100,1990.301614,35.70746808,14880.32426,11.91014861
150,1990.04349,47.40061745,13770.64698,8.137547344
200,1989.916618,64.56441574,11962.92601,5.716674375
250,1990.762992,79.23582677,12412.55197,4.8767684
300,1989.91416,91.4341526,13335.47212,3.983133333
60,2260.847081,31.75074987,15245.67354,10.48848
130,2260.538136,47.67445521,14249.31992,8.639769474
200,2260.761139,71.98151815,12802.77393,7.148534091
270,2260.822596,82.23104575,15867.51494,5.672381795
60,2511.510003,33.67730403,15256.13775,9.652578958
130,2510.555514,51.33304576,14984.2982,8.486741471
200,2511.025443,68.19290671,14971.76793,12.51398936
240,2511.891538,73.93423077,17230.71,8.9646378
50,995.2523874,16.33929059,10087.27149,1.857063659
75,995.2472496,21.12767805,10297.27099,2.5862025
90,995.1782838,27.16337129,11502.2802,3.103380615
50,1235.679742,19.29930145,14428.12628,2.124516842
20,1015.034086,10.86622399,10434.4232,1.104787681
40,1015.0967,15.83974947,10474.04751,1.50985759
60,1014.960852,18.90545647,10515.19664,1.906766075
80,1014.673883,26.25623485,11822.63976,2.132526055
100,1014.642948,29.32693774,12453.0285,2.799366693
120,1014.924291,33.06139395,13101.49333,3.654545981
20,1099.828061,11.71081131,12432.83364,0.984706352
40,1100.133968,17.86981842,12868.69021,1.309540672
60,1103.817591,22.40619503,13500.20765,1.496889685
80,1104.006593,25.53925824,14066.58654,2.077378897
100,1103.963526,28.97622165,14665.43184,2.593129046
120,1103.735255,32.39802509,14905.53856,3.271526171
140,1104.044571,37.37551429,15082.37514,3.470056939
160,1104.052274,41.72341871,15162.81129,3.940583906
180,1104.252657,45.52270373,15129.70155,4.870775593
200,1104.042246,50.77307793,15088.95749,5.699205695
220,1103.747925,56.34400934,14995.41572,6.897848907
280,1203.925427,73.18223718,13947.7043,6.83017763
260,1203.877642,67.47066185,14404.33815,6.547885739
240,1203.950862,61.73312061,14428.94416,6.662007118
220,1203.862221,55.94806543,14494.11576,6.73575905
200,1203.945693,51.08084672,14608.16905,6.153919869
180,1204.093016,45.52875877,14799.94633,5.1569089
160,1203.99432,41.29518685,14961.02661,4.365973548
140,1203.801991,36.62283918,15026.71372,4.357755027
120,1204.040046,32.81279745,15028.77162,3.976732006
100,1204.019714,30.92148199,15036.59755,3.370451336
80,1203.887258,28.79589726,14990.06604,2.645713067
60,1204.234731,23.63955114,14701.3223,2.154894399
40,1203.612199,15.25772244,14140.3864,1.880033413
20,1203.370852,13.24587942,14006.22428,0.955488953
20,1303.173239,13.44938028,14023.27577,1.374287233
40,1303.862995,16.33628564,14223.70108,2.530910459
60,1303.936093,23.48161899,14687.86732,3.003601263
80,1304.163193,28.96705643,14965.57499,3.433611968
100,1304.230928,30.89000591,15023.00739,3.95161235
120,1303.659356,32.88818536,15027.63035,4.438164463
140,1304.108554,36.97261166,15016.55534,4.43368792
160,1303.962751,41.7527937,14843.34491,4.833620336
180,1303.991767,45.88172894,14475.9696,5.799373238
200,1303.890578,51.49672033,14124.05933,6.640348295
220,1303.953244,56.15555098,13961.31926,7.117995761
240,1303.746636,62.00749712,13859.24337,5.296225717
260,1303.841362,68.01962169,13703.5657,2.624521774
280,1304.070138,73.42986185,13663.31243,1.820099525
300,1304.073139,79.11154477,13647.55034,1.496325353
340,1403.810964,93.17188766,11868.58358,3.446479713
320,1403.996776,87.66874874,11988.90933,3.093501403
300,1404.210997,81.88487973,12117.30344,2.728341522
280,1404.170556,76.01830556,12259.00139,2.615481733
260,1404.189937,70.49293569,12335.54548,2.936483
240,1403.790066,64.43801325,12585.74967,3.662491211
220,1404.039052,58.58082413,12846.0571,4.682721538
200,1404.123224,52.56175426,13126.22408,5.389274281
180,1404.007487,47.64655971,13423.48449,4.542576071
160,1404.078258,42.92647159,13769.73426,5.071033569
140,1403.887762,38.64503497,14041.74476,5.784635079
120,1404.011028,34.79033966,14244.98897,6.310409916
100,1404.070066,31.55494161,14321.83993,6.165199007
80,1403.76385,29.32311978,14392.66605,5.754247339
60,1404.03759,25.90288363,14429.0206,4.937327112
40,1404.102744,16.7038822,14263.53347,3.324101311
20,1403.965086,13.64661282,14053.25717,1.763454687
20,1503.701429,14.24,14072.64857,2.374361204
40,1509.438953,21.40328073,14428.38538,4.705810582
60,1509.927333,26.90816667,14054.90833,7.203960085
80,1509.911157,30.86626328,13803.4997,8.000607192
100,1510.212308,34.55973801,13507.38433,8.317521874
120,1509.627961,38.21356247,13245.97167,8.17285265
140,1509.882427,43.51156869,12863.83119,7.207232937
160,1510.159888,48.04842216,12589.67461,6.935560158
180,1510.236281,52.679051,12224.51904,7.405432338
200,1509.961749,58.89800937,11824.5,7.687810993
220,1509.972363,64.68208861,11431.74852,7.218730957
240,1510.206239,70.47667244,11086.18752,6.279305845
260,1510.358559,75.92022472,10970.16854,5.443475317
280,1509.830815,82.0147139,10710.74882,5.029147174
300,1507.155931,88.35722702,10396.48429,4.726001754
320,1506.832967,93.92787546,10186.06996,4.604156923
340,1506.926431,99.70752044,10153.77875,4.396725
360,1506.844534,105.2343525,10357.12489,4.008202727
360,1606.886578,102.6307442,11491.70686,3.458183898
340,1607.308222,97.56861817,11171.40551,3.625439268
320,1606.777478,92.40829741,10982.98276,3.75075575
300,1607.129104,87.36936567,10970.10597,4.187258269
280,1607.051084,81.63771904,11073.57232,4.622006324
260,1606.996794,75.81334669,11227.35391,4.890827234
240,1607.139501,70.06237885,11264.19471,5.707588769
220,1606.869146,63.49531641,11628.46049,6.821722963
200,1607.432417,57.012786,12066.01327,7.682587228
180,1606.688117,52.50080439,12441.54406,7.952692857
160,1606.767606,48.86945886,12783.89622,8.2122376
140,1607.22699,43.91169342,13263.84867,8.105593559
120,1606.858804,37.23808493,14069.50933,8.827024714
100,1606.962595,34.28686895,14268.40178,9.188396528
80,1607.074964,31.05888412,14488.68555,8.786905152
60,1606.959084,27.61038627,14543.5133,8.636686
40,1607.247753,19.92437972,14490.40093,5.998756792
20,1607.132307,13.88177247,14086.35387,4.000064333
20,1701.718087,14.53123218,14118.2892,4.412301311
40,1701.941268,21.64023743,14637.66167,6.716269016
60,1702.119788,27.90271343,15091.71013,8.478129517
80,1701.970272,31.73094556,15230.32235,8.417457358
100,1701.996984,34.90443305,15218.57871,8.405036613
120,1701.843256,37.08855335,15215.24072,7.785499429
140,1701.952184,42.54569067,14407.55165,6.325989516
160,1702.08612,46.93244147,13351.57651,6.549615778
180,1701.834887,52.54407457,12646.16045,7.030948
200,1701.911593,58.17713731,12088.40835,6.685716786
220,1702.039183,64.38816094,11654.47377,5.616713404
240,1702.094371,70.28865894,11359.99917,4.533368372
260,1702.247238,76.57355426,11447.23717,3.955569667
280,1702.038993,82.47270494,11450.24133,3.674607581
300,1701.89234,88.64038122,11481.76774,3.439054746
320,1702.462496,93.83629577,11770.66904,3.317934912
340,1802.144033,97.47310406,13286.04527,2.823434839
320,1801.91436,94.39560724,12632.94647,3.153485385
300,1801.620404,90.25205479,12133.63446,3.415681346
280,1801.991535,84.4675314,11907.51557,3.468657286
260,1801.883178,78.9989486,11754.64603,3.586425536
240,1801.940201,72.99170668,11557.47665,4.111047778
220,1802.401065,66.42347399,11628.62843,4.599217105
200,1801.90789,60.61943257,11984.53323,5.950523276
180,1801.972653,54.26267268,12576.23231,6.643054366
160,1801.752647,48.18743985,13387.55438,7.089574615
140,1799.96174,43.41952256,14260.90222,6.853879077
120,1800.314465,38.93435948,15223.49652,8.862087561
100,1799.809676,35.05410886,15193.98399,9.577577059
80,1800.043695,32.08730753,15240.11069,10.26725167
60,1799.934074,28.50682254,15129.25259,9.695041176
40,1799.747871,23.32759796,14782.24233,8.7321775
20,1799.743621,14.47515188,14098.52552,4.874984211
20,2000.549724,16.02287293,14664.16796,5.394203542
40,2000.020077,24.86579151,15194.64479,9.740673026
60,1999.876872,29.96181364,15179.80865,9.73516748
80,1998.621097,33.8942616,14919.30549,10.47432041
100,1999.847055,36.27599159,14802.89603,10.64846976
120,1999.908795,40.52553746,14473.93746,8.936559615
140,2000.184227,45.70656151,14002.27319,8.060606447
160,2000.05784,51.54675958,13199.62509,7.640683265
180,1999.894498,57.39501618,12472.60065,6.527166792
200,1999.561899,64.86087235,12029.48493,5.555122424
220,1999.939606,71.8301335,11883.04196,5.130384878
240,1999.872242,76.9,12348.56562,4.654104186
260,1999.607882,81.93253173,12675.84302,4.570446833
280,1999.998721,88.31962916,13057.7954,4.217396923
300,2000.171044,91.50044843,13328.4747,3.74542873
280,2198.178254,84.72696039,15283.67664,5.585019348
260,2198.558484,82.06514101,14290.68608,6.3339095
240,2198.002451,78.93112745,13327.78431,6.946748462
220,2198.043165,76.1032888,12672.47551,6.573605294
200,2211.260753,71.52275986,12127.00538,6.609033061
180,2211.89518,63.62685539,12251.27467,6.321581064
160,2210.767844,56.24405191,12739.87022,6.517073393
140,2211.528509,48.35994152,13864.45687,7.734593036
120,2210.961265,43.68831504,14693.53712,8.813687222
100,2210.575253,38.89023155,15228.92475,10.6351238
80,2210.968429,34.95051395,15271.85463,10.97096245
60,2211.19927,30.62014599,15262.9708,9.660389778
40,2210.609808,26.2790334,15272.05473,9.453221404
20,2210.9973,18.51538877,15043.95464,6.493315733
20,2393.287714,20.18895801,15220.57932,6.941133953
40,2392.970625,27.8975,15266.92,7.440009545
60,2392.738039,33.07882353,15237.23686,8.346254681
80,2392.6849,36.10254237,15249.45532,9.407734348
100,2392.263352,40.97357274,15229.4291,8.290617143
120,2393.985782,46.22496051,14766.8594,8.192604789
140,2392.953162,52.89750195,14249.86651,7.098396346
160,2393.571757,57.98288565,14076.90177,8.140679138
180,2393.261417,62.73409449,14087.70551,9.760956667
200,2393.669847,67.21211832,14054.27958,11.0320075
220,2392.507463,71.14564022,14580.98429,11.0170598
240,2392.399083,73.68998471,16107.98471,8.572723133
260,2393.13271,76.33336449,17746.96916,5.936533333
240,2499.977444,73.97368421,17342.15038,9.057850909
220,2499.835121,71.23016086,15611.79223,10.78713216
200,2501.504039,66.84038772,14862.92246,12.42976163
180,2499.759881,64.29328063,14783.28854,11.16191565
160,2499.337047,59.77706592,14823.15785,9.430190408
140,2500.190231,54.64498715,14876.48243,7.719965652
120,2499.707987,48.29392679,15036.45424,8.026481642
100,2499.852053,42.47366383,15194.70333,10.21016522
80,2500.155556,36.6525641,15251.55299,9.021583818
60,2501.195506,33.57325843,15249.88764,8.3635672
40,2513.860072,29.16248492,15282.97829,7.051385063
20,2513.393112,22.29726841,15242.81116,6.736868113
20,2608.46584,24.43374643,14994.88052,8.374019833
40,2601.995448,30.24772382,15335.07663,8.514241412
60,2602.84011,34.3221978,15289.39615,9.396955833
80,2601.708393,39.17643433,15284.39403,10.040191
100,2602.012126,45.56071893,15332.75227,11.02619571
120,2600.853687,51.62430678,15402.3941,10.58632092
300,2199.784367,88.14294699,17049.01887,3.517284457
320,1999.867336,95.90769231,14010.14047,2.936122131
340,1999.765727,98.59902386,14558.22777,2.581072097
360,2000.770386,101.1012876,15082.23605,2.195925938
360,1802.979899,100.2456449,13914.0871,2.129551029
380,1803.143898,103.5016393,14620.85428,1.83600931
380,1702.665741,104.6995003,13018.71849,2.443410204
360,1703.108883,101.2808023,12634.19914,2.724770222
380,1602.61223,106.7516779,12300.97763,3.018340417
380,1522.897842,108.1225899,12142.76307,3.025776552
340,1701.93699,97.70992491,12174.38067,3.117510364
400,1523.683737,109.9195848,13247.191,2.607069205
420,1522.151832,112.4531123,14529.2292,2.313379701
400,1597.983559,110.034236,13839.87041,2.718865135
280,2406.468975,80.15829726,20072.63925,4.591186667
